Term,Definition,Category,Source,Difficulty
git,"A version control system that tracks changes in computer files and coordinates work on those files among multiple people.",Python,Python Course,beginner
github,"A cloud-based platform for hosting and managing Git repositories, enabling collaboration and version control.",Python,Python Course,beginner
version control,"The practice of tracking and managing changes to software code over time to ensure a history of edits and facilitate collaboration.",Python,Python Course,beginner
backup,"A copy of data stored separately from the original to protect against data loss in case of hardware failure or accidental deletion.",Python,Python Course,beginner
gitignore,"A file that specifies intentionally untracked files that Git should ignore, preventing sensitive or unnecessary files from being uploaded.",Python,Python Course,beginner
commit,"A saved snapshot of changes made to a repository at a specific point in time, accompanied by a descriptive message.",Python,Python Course,beginner
pull,"A Git command used to fetch and download content from a remote repository and immediately update the local repository to match.",Python,Python Course,beginner
clone,"The process of creating a local copy of a remote Git repository, containing all its files, history, and branches.",Python,Python Course,beginner
cd,"A command-line utility (change directory) used to navigate between different folders in a computer's file system.",Python,Python Course,beginner
ls,"A command-line utility used to list all the files and directories contained within the current directory.",Python,Python Course,beginner
cd ..,"A command-line instruction that moves the current working directory one level up to the parent directory.",Python,Python Course,beginner
data type,"A classification that specifies which type of value a variable has, such as integer, string, or boolean, determining what operations can be performed on it.",Python,Python Course,beginner
variable,"A named container used to store data values in memory that can be referenced or changed throughout a program.",Python,Python Course,beginner
assignment,"The process of storing a specific value into a variable using an assignment operator, typically the equals sign (=).",Python,Python Course,beginner
dynamically typed,"A programming feature where variable types are checked at runtime rather than beforehand, allowing variables to hold different data types over time.",Python,Python Course,beginner
input,"Data provided to a program by a user or an external source so the program can process it.",Python,Python Course,beginner
output,"The resulting data produced by a program and displayed or sent to a user or system after processing.",Python,Python Course,beginner
type casting,"The process of explicitly converting a variable from one data type to another, such as turning an integer into a string.",Python,Python Course,beginner
boolean,"A data type that can hold one of exactly two values: True or False, commonly used for logical conditions.",Python,Python Course,beginner
string,"A sequence of characters used to represent text, typically enclosed in single or double quotes.",Python,Python Course,beginner
f-string,"A syntax in Python that allows you to easily embed variables and expressions directly inside a string using curly braces.",Python,Python Course,beginner
indentation,"The use of spaces or tabs at the beginning of a line of code to define blocks of code, which is strictly required in Python.",Python,Python Course,beginner
convention,"An agreed-upon style or set of rules among programmers to write code uniformly, making it easier to read and maintain.",Python,Python Course,beginner
control structures,"Programming blocks that dictate the flow of execution based on conditions or loops, rather than executing line by line.",Python,Python Course,beginner
conditional statement,"A programming construct that performs different actions depending on whether a specific boolean condition evaluates to true or false.",Python,Python Course,beginner
if,"A control flow statement that executes a block of code only if its specified condition evaluates to true.",Python,Python Course,beginner
